word,meaning
politician,n.政治家，政客
royal,adj.王室的
barber,n.理发师
stocking,n.长筒袜
delegate,n.代表，代表团成员 vt.委派……为代表；授权
highlight,v.强调，突出，使显著 n.高光
depression,n.抑郁，沮丧；不景气，萧条；洼地，凹陷
signature,n.署名，签名
atmosphere,n.大气，空气；氛围，环境
evaluate,vt.评价；估价
rescue,n./v.营救，救援
personality,n.人格，个性；人物，名人
latter,adj.后者的，后一半的
parliament,n.议会，国会
input,n.输入；投入的资金；输入的数据 vt.输入
partial,adj.部分的；不公平的；偏爱的，偏袒的
loyalty,n.忠诚，衷心
calendar,n.日历，历法
overlook,vt.忽视；宽恕；俯瞰
debate,n./v.争论，辩论
stoop,vi.俯身，弯身 n.弯腰，曲背
